group,group_rationale,variable_key,label,skip_condition,explanation,scripts
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ANSteroids,Antenatal steroids,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,ANVDRL,Syphilis test? / Syphilis test? ,$AdmReason != 'DU' | $AdmReason != 'DU' or $ReferredFrom2 != 'DU' | $NeoTreeOutcome = 'BID' | $NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when admission reason is not Dumpsite (abandoned baby)
Shown when admission reason is not Dumpsite (abandoned baby) or referral source is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased)
Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,AdmReaCongAnom,Reason for admission / presenting complaint - Congenital Anomalies,$AdmReason = 'Cong',Shown when admission reason is Other congenital abnormality,"Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,AdmReaSurgCond,Reason for admission / presenting complaint - Surgical Conditions,$AdmReason = 'OS',Shown when admission reason is Other Surgical Conditions,"Generic PHC Admission, Kasungu District Hospital Neotree Admission, Neotree Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,AdmReasonOth,If other what?,$AdmReason = 'O',Shown when admission reason is Other,"Bindura Hospital Admission, Parirenyatwa Group of Hospitals Admission"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,AdmittedFrom,Admitted from / Where in KDH were they admitted from? / Where in PGH were they admitted from? / Where in PHC were they admitted from?,$InOrOut = 'In' | $InOrOut = true | $InOrOut = true and $TypeBID != 'DU' | $NeoTreeOutcome = 'BID' and $InOrOut = true,"Shown when admitted from within facility is Within PHC
Shown when admitted from within facility: Yes
Shown when admitted from within facility: Yes, and type of BID case is not Dumpsite (abandoned baby)
Shown when patient outcome is Brought in dead (arrived deceased), and admitted from within facility: Yes","Bindura Hospital Admission, Chinhoyi Provincial Hospital Admission, Generic PHC Admission, Kasungu District Hospital Neotree Admission, Kasungu District Hospital Neotree Discharge, NeoDischarge, Neotree Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Admission, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,AntenatalCare,ANC visits / ANC visits ,$NeoTreeOutcome = 'BID' and $TypeBID != 'DU',"Shown when patient outcome is Brought in dead (arrived deceased), and type of BID case is not Dumpsite (abandoned baby)","Kasungu District Hospital Neotree Discharge, NeoDischarge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Apgar1,Apgar Score at 1 min,!($AdmReason = 'BBA' or $AdmReason = 'DU' or $AdmReasonOth = 'BBA' or $AdmReasonOth = 'DU') | !($AdmReason = 'DU' or $AdmReason = 'BBA') | $AdmReason != 'BBA',"Shown when NOT (admission reason is Born Before Arrival or admission reason is Dumpsite (abandoned baby) or other admission reason is Born Before Arrival or other admission reason is Dumpsite (abandoned baby))
Shown when NOT (admission reason is Dumpsite (abandoned baby) or admission reason is Born Before Arrival)
Shown when admission reason is not Born Before Arrival","Bindura Hospital Admission, Bindura Hospital Discharge, Chinhoyi Provincial Hospital Admission, Chinhoyi Provincial Hospital Discharge, Generic PHC Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,Apgar5,Apgar Score at 5 min / Apgar Score at 5 mins,!($AdmReason = 'BBA' or $AdmReason = 'DU' or $AdmReasonOth = 'BBA' or $AdmReasonOth = 'DU') | !($AdmReason = 'DU' or $AdmReason = 'BBA') | $AdmReason != 'BBA',"Shown when NOT (admission reason is Born Before Arrival or admission reason is Dumpsite (abandoned baby) or other admission reason is Born Before Arrival or other admission reason is Dumpsite (abandoned baby))
Shown when NOT (admission reason is Dumpsite (abandoned baby) or admission reason is Born Before Arrival)
Shown when admission reason is not Born Before Arrival","Bindura Hospital Admission, Bindura Hospital Discharge, Chinhoyi Provincial Hospital Admission, Chinhoyi Provincial Hospital Discharge, Generic PHC Admission, Parirenyatwa Group of Hospitals Admission, Parirenyatwa Group of Hospitals Discharge, Sally Mugabe CH Discharge"
Dumpsite / unknown-origin baby,DU = Dumpsite: baby found abandoned with no history. Maternal/birth history fields are structurally inapplicable.,BF,Breast feeding initiated in delivery room?,!($AdmReasonOth = 'DU' or $AdmReason = 'DU'),Shown when NOT (other admission reason is Dumpsite (abandoned baby) or admission reason is Dumpsite (abandoned baby)),Parirenyatwa Group of Hospitals Admission
